setor;cnae_classe;situacao_cadastral;natureza_juridica;grande_empresa;obrigacoes_acessorias;obrigacao_principal;atuacao_fiscal;analise_comparativa;consistencia;comercio_exterior;conformidade;impacto
01000 - Instituicoes Financeiras e de Seguros;66304;Ativa;Entidades empresariais;Sim;0,8559;0,9999;1,0000;0,4444;0,9335;1;0,9101;Muito Alto
05001 - Metalurgia e Siderurgia;46851;Ativa;Entidades empresariais;Sim;0,9973;0,9977;1,0000;0,4444;0,9048;1;0,9153;Moderado
11003 - Atividades profissionais, cientificas e tecnicas;73114;Ativa;Entidades empresariais;Sim;0,9829;1,0000;1,0000;0,6530;0,6906;1;0,8708;Muito Baixo
08001 - Automoveis;45111;Ativa;Entidades empresariais;Sim;0,9756;1,0000;1,0000;0,6667;0,6826;1;0,869;Alto
03005 - Construcao - Servicos;81214;Ativa;Entidades empresariais;Sim;0,9782;0,9170;1,0000;0,6667;0,8171;1;0,8997;Alto
07002 - Varejistas;47598;Ativa;Entidades empresariais;Sim;0,7001;0,9999;0,6424;0,6667;0,5661;0,7892;0,6853;Moderado
09000 - Saude;86101;Ativa;Entidades empresariais;Sim;0,8079;0,9999;1,0000;0,6667;0,68;0,8482;0,8363;Muito Alto
11008 - Servicos de Locacao;77390;Ativa;Entidades empresariais;Sim;0,9884;0,9967;1,0000;0,6667;0,9922;1;0,9628;Alto
09003 - Farmaceutico e Produtos Hospitalares;46443;Ativa;Entidades empresariais;Sim;0,9806;1,0000;1,0000;0,4444;0,6266;1;0,8305;Moderado
08001 - Automoveis;45307;Ativa;Entidades empresariais;Sim;0,9414;0,8043;1,0000;0,4444;0,6288;1;0,8037;Alto
01000 - Instituicoes Financeiras e de Seguros;66126;Ativa;Entidades empresariais;Sim;0,9213;1,0000;0,6967;0,4614;0,9128;1;0,8272;Muito Baixo
09003 - Farmaceutico e Produtos Hospitalares;46443;Ativa;Entidades empresariais;Sim;0,8067;0,9782;0,9900;0,4444;0,6774;0,793;0,8022;Muito Alto
08000 - Transporte Terrestre e Logistica;49213;Ativa;Entidades empresariais;Sim;1,0000;1,0000;1,0000;0,8889;1;1;0,9889;Baixo
02002 - Farmacos;21211;Ativa;Entidades empresariais;Sim;0,9165;0,9999;1,0000;0,4444;0,9145;0,7154;0,882;Muito Alto
09000 - Saude;86402;Ativa;Entidades empresariais;Sim;0,9271;0,9955;0,8000;0,4444;0,8772;0,7791;0,8217;Alto
01002 - Planos de Saude;65502;Ativa;Entidades empresariais;Sim;0,9225;0,8726;0,9970;0,5556;0,9782;1;0,9251;Alto
02002 - Farmacos;47717;Ativa;Entidades empresariais;Sim;0,8937;0,9045;1,0000;0,5556;0,9253;1;0,9111;Moderado
03000 - Eletricidade;35131;Ativa;Entidades empresariais;Sim;0,9885;0,9523;1,0000;0,4444;0,6512;1;0,8329;Moderado
01000 - Instituicoes Financeiras e de Seguros;66304;Ativa;Entidades empresariais;Sim;0,9585;1,0000;0,9117;0,6667;0,944;1;0,921;Alto
05004 - Fabricacao e comercio de prod. de metal;25993;Ativa;Entidades empresariais;Sim;0,9097;0,9295;0,9000;0,5556;0,9902;0,8041;0,8875;Moderado
03000 - Eletricidade;35115;Ativa;Entidades empresariais;Sim;0,9750;0,9816;1,0000;0,5168;0,7;1;0,857;Baixo
09003 - Farmaceutico e Produtos Hospitalares;46443;Ativa;Entidades empresariais;Sim;0,6778;1,0000;1,0000;0,6387;0,8184;1;0,8772;Moderado
08001 - Automoveis;45111;Ativa;Entidades empresariais;Sim;0,8792;0,5086;0,8000;0,6667;0,8432;1;0,7926;Alto
10003 - Bens de Capital;27104;Ativa;Entidades empresariais;Sim;0,8810;0,8682;0,9199;0,5556;0,8222;0,7634;0,8284;Muito Alto
07001 - Supermercados;47113;Ativa;Entidades empresariais;Sim;0,8900;0,8180;0,8000;0,1111;0,8175;1;0,7675;Alto
01000 - Instituicoes Financeiras e de Seguros;64638;Ativa;Entidades empresariais;Sim;0,9853;0,8794;0,9900;0,6667;0,619;1;0,8336;Muito Alto
08000 - Transporte Terrestre e Logistica;49116;Ativa;Entidades empresariais;Sim;0,8011;0,7735;0,8667;0,6667;0,5872;1;0,7584;Muito Baixo
03006 - Construcao - Comercio;47440;Ativa;Entidades empresariais;Sim;0,9838;0,6992;1,0000;0,4444;0,5952;1;0,7853;Baixo
11002 - Meios de Pagamento, Ticket Alimentacao, Programa de Fidelidade;82997;Ativa;Entidades empresariais;Sim;0,9853;0,9695;1,0000;0,6667;0,5715;1;0,833;Muito Alto
06003 - Pecuaria, carnes, leites e derivados;10112;Ativa;Entidades empresariais;Sim;0,9820;0,5405;0,8000;0,4672;0,4802;0,9743;0,6753;Moderado
07000 - Comercio em Geral;46427;Ativa;Entidades empresariais;Sim;0,9742;0,9441;0,9224;0,4466;0,6803;1;0,8177;Muito Baixo
03004 - Construcao - Obras de Infra-estrutura;42219;Ativa;Entidades empresariais;Sim;0,9873;0,8075;1,0000;0,4444;0,6122;0,889;0,7926;Muito Baixo
02005 - Sucroalcooleiro;19322;Ativa;Entidades empresariais;Sim;0,9848;0,9051;1,0000;0,4444;0,6998;0,877;0,8292;Muito Alto
05002 - Cimento, ceramicas e revestimentos;23206;Ativa;Entidades empresariais;Sim;0,9833;0,7984;0,9229;0,5556;0,5658;0,8156;0,7594;Moderado
03000 - Eletricidade;35131;Ativa;Entidades empresariais;Sim;0,9861;1,0000;1,0000;0,4444;0,8674;1;0,9033;Moderado
03000 - Eletricidade;35131;Ativa;Entidades empresariais;Sim;0,9827;1,0000;1,0000;0,4444;0,9833;1;0,9377;Muito Alto
02006 - Defensivos agricolas, adubos e fertilizantes;46834;Ativa;Entidades empresariais;Sim;0,9878;1,0000;0,8667;0,6667;0,7192;1;0,8439;Moderado
08001 - Automoveis;29107;Ativa;Entidades empresariais;Sim;0,9732;0,9996;0,9381;0,6346;0,8819;0,6471;0,8727;Alto
11005 - Trading;70204;Ativa;Entidades empresariais;Sim;0,9402;0,7202;0,9842;0,4444;0,6459;0,8115;0,7754;Muito Baixo
11003 - Atividades profissionais, cientificas e tecnicas;71197;Ativa;Entidades empresariais;Sim;0,9793;0,9826;1,0000;0,6667;0,6495;0,7342;0,8308;Baixo
02004 - Fabricacao de Borracha;38327;Ativa;Entidades empresariais;Sim;0,8269;0,9571;1,0000;0,6667;0,6111;0,6865;0,7962;Baixo
08003 - Transporte Maritimo;64620;Ativa;Entidades empresariais;Sim;0,8646;1,0000;1,0000;0,6667;0,6381;1;0,8446;Muito Baixo
08001 - Automoveis;45111;Ativa;Entidades empresariais;Sim;0,7301;0,9974;1,0000;0,5556;0,6083;1;0,8107;Alto
04001 - Tecnologia (Software e Comercio);46516;Ativa;Entidades empresariais;Sim;0,8797;1,0000;0,8962;0,6667;0,8298;0,7893;0,8534;Alto
04001 - Tecnologia (Software e Comercio);64620;Ativa;Entidades empresariais;Sim;0,9848;0,7145;1,0000;0,4444;0,5298;1;0,7676;Moderado
07004 - Calcados;46435;Ativa;Entidades empresariais;Sim;0,6684;0,6855;1,0000;0,6667;0,9307;1;0,875;Moderado
01000 - Instituicoes Financeiras e de Seguros;66304;Ativa;Entidades empresariais;Sim;0,9719;0,9846;1,0000;0,6667;0,6647;1;0,8614;Muito Baixo
05001 - Metalurgia e Siderurgia;24423;Ativa;Entidades empresariais;Sim;0,9132;0,9965;1,0000;0,6667;0,3699;0,5945;0,728;Muito Alto
02005 - Sucroalcooleiro;10716;Ativa;Entidades empresariais;Sim;0,9880;0,5580;0,7900;0,5538;0,5663;0,9286;0,7051;Baixo
02005 - Sucroalcooleiro;10716;Ativa;Entidades empresariais;Sim;0,8694;0,4843;0,7653;0,5556;0,8423;0,9531;0,7629;Alto
06003 - Pecuaria, carnes, leites e derivados;01555;Ativa;Entidades empresariais;Sim;0,8542;0,5341;0,8000;0,5556;0,8746;0,7513;0,7666;Alto
10000 - Industria em Geral;46460;Ativa;Entidades empresariais;Sim;0,9389;0,6557;0,8000;0,4444;0,9527;0,7364;0,8005;Moderado
02006 - Defensivos agricolas, adubos e fertilizantes;46834;Ativa;Entidades empresariais;Sim;0,9492;0,8073;0,9567;0,4444;0,7432;0,8296;0,81;Alto
05001 - Metalurgia e Siderurgia;24245;Ativa;Entidades empresariais;Sim;0,9861;0,7114;0,8000;0,5556;0,6745;0,8207;0,748;Alto
08000 - Transporte Terrestre e Logistica;49302;Ativa;Entidades empresariais;Sim;0,8778;1,0000;0,9300;0,5556;0,5873;1;0,7999;Moderado
06001 - Producao e comercio agricola;01415;Ativa;Entidades empresariais;Sim;0,8186;0,8570;0,8868;0,5947;0,921;0,8796;0,8567;Moderado
08001 - Automoveis;45307;Ativa;Entidades empresariais;Sim;0,9262;0,9950;1,0000;0,5556;0,6321;0,8064;0,8179;Baixo
11005 - Trading;46931;Ativa;Entidades empresariais;Sim;1,0000;1,0000;0,7775;0,6667;0,5851;0,8925;0,7692;Muito Baixo
04002 - Eletroeletronicos;46516;Ativa;Entidades empresariais;Sim;0,9863;0,9946;0,9200;0,6667;0,9687;0,7715;0,91;Alto
03000 - Eletricidade;35131;Ativa;Entidades empresariais;Sim;0,9257;0,7123;1,0000;0,6667;0,5421;1;0,7873;Muito Alto
03000 - Eletricidade;35115;Ativa;Entidades empresariais;Sim;0,9805;0,9189;1,0000;0,6667;0,9688;1;0,9456;Muito Alto
06004 - Alimentos Processados;10660;Ativa;Entidades empresariais;Sim;0,8367;0,7369;0,9783;0,4444;0,642;0,8238;0,7654;Alto
01000 - Instituicoes Financeiras e de Seguros;66134;Ativa;Entidades empresariais;Sim;0,9663;0,9968;1,0000;0,6667;0,4751;1;0,8054;Muito Baixo
06001 - Producao e comercio agricola;64620;Ativa;Entidades empresariais;Sim;0,9818;0,8864;1,0000;0,5556;0,7876;1;0,8764;Muito Alto
05001 - Metalurgia e Siderurgia;24237;Ativa;Entidades empresariais;Sim;0,9069;0,9868;0,8000;0,6667;0,9488;0,8677;0,8712;Muito Alto
11002 - Meios de Pagamento, Ticket Alimentacao, Programa de Fidelidade;82997;Ativa;Entidades empresariais;Sim;0,8713;0,9381;1,0000;0,5185;0,9216;1;0,908;Muito Alto
08000 - Transporte Terrestre e Logistica;49302;Ativa;Entidades empresariais;Sim;0,7487;0,9994;0,9990;0,4444;0,9797;1;0,9129;Baixo
08003 - Transporte Maritimo;52311;Ativa;Entidades empresariais;Sim;0,7562;0,7275;0,9015;0,6667;0,4259;0,8253;0,6923;Alto
06001 - Producao e comercio agricola;46320;Ativa;Entidades empresariais;Sim;0,9035;0,7137;0,9410;0,5556;0,6984;0,7143;0,776;Muito Alto
06001 - Producao e comercio agricola;01156;Ativa;Entidades empresariais;Sim;0,9848;0,7721;1,0000;0,4444;0,6456;0,8922;0,7985;Baixo
08001 - Automoveis;45111;Ativa;Entidades empresariais;Sim;0,9470;0,9654;1,0000;0,4444;0,9227;1;0,9118;Moderado
06002 - Turismo, Hotelaria e Lazer;79112;Ativa;Entidades empresariais;Sim;0,9681;0,8015;1,0000;0,6667;0,5142;1;0,7939;Alto
07001 - Supermercados;64620;Ativa;Entidades empresariais;Sim;0,9622;0,8522;0,9583;0,4444;0,7851;1;0,8468;Muito Baixo
02006 - Defensivos agricolas, adubos e fertilizantes;20126;Ativa;Entidades empresariais;Sim;0,9920;0,9473;0,9833;0,4444;0,9226;1;0,9094;Alto
06001 - Producao e comercio agricola;46231;Ativa;Entidades empresariais;Sim;0,5303;1,0000;1,0000;0,1111;0,1429;1;0,607;Moderado
02006 - Defensivos agricolas, adubos e fertilizantes;46834;Ativa;Entidades empresariais;Sim;0,5303;1,0000;1,0000;0,1111;0,1429;1;0,607;Moderado
06003 - Pecuaria, carnes, leites e derivados;64620;Ativa;Entidades empresariais;Sim;0,8026;0,9948;1,0000;0,2222;0,3476;1;0,7061;Alto
03001 - Construcao - Edificios;41107;Ativa;Entidades empresariais;Sim;0,9854;1,0000;1,0000;0,5556;0,5554;1;0,8207;Moderado
01002 - Planos de Saude;65502;Ativa;Entidades sem fins lucrativos;Sim;0,9396;0,9956;0,8000;0,5640;0,8545;1;0,8502;Moderado
08000 - Transporte Terrestre e Logistica;49302;Ativa;Entidades empresariais;Sim;0,9759;0,9821;0,8000;0,6667;0,9161;1;0,8809;Muito Alto
07001 - Supermercados;47113;Ativa;Entidades empresariais;Sim;0,9677;0,8045;0,7149;0,6667;0,8969;0,8436;0,8136;Muito Alto
01000 - Instituicoes Financeiras e de Seguros;64221;Ativa;Entidades empresariais;Sim;0,9719;0,9999;1,0000;0,4444;0,9823;1;0,9363;Muito Alto
09001 - Educacao;85325;Ativa;Entidades empresariais;Sim;0,9248;0,9972;0,9900;0,5556;0,7309;1;0,8642;Alto
09000 - Saude;86101;Ativa;Entidades empresariais;Sim;0,9365;0,9264;0,9320;0,6667;0,6267;1;0,8205;Alto
03000 - Eletricidade;35140;Ativa;Entidades empresariais;Sim;0,9028;0,9175;1,0000;0,5695;0,9661;1;0,9272;Muito Alto
03002 - agua e Esgoto;36006;Ativa;Entidades empresariais;Sim;0,9417;0,8428;0,9587;0,6124;0,5791;1;0,7987;Alto
04001 - Tecnologia (Software e Comercio);62031;Ativa;Entidades empresariais;Sim;0,8306;0,9880;1,0000;0,5128;0,5211;1;0,7892;Muito Baixo
07000 - Comercio em Geral;46923;Ativa;Entidades empresariais;Sim;0,7123;1,0000;1,0000;0,6667;0,4286;1;0,7665;Alto
03001 - Construcao - Edificios;41107;Ativa;Entidades empresariais;Sim;0,9823;0,9661;1,0000;0,6667;0,282;1;0,7454;Baixo
11004 - Atividades Imobiliarias, Shopping Center;68102;Ativa;Entidades empresariais;Sim;0,9654;0,9987;1,0000;0,4563;0,5289;1;0,8007;Alto
01000 - Instituicoes Financeiras e de Seguros;64387;Ativa;Entidades empresariais;Sim;0,9797;1,0000;1,0000;0,6402;0,9769;1;0,9551;Muito Alto
02005 - Sucroalcooleiro;46397;Ativa;Entidades empresariais;Sim;0,9343;0,8569;1,0000;0,6667;0,5798;1;0,8169;Moderado
06001 - Producao e comercio agricola;74901;Ativa;Entidades empresariais;Sim;0,8090;0,9799;1,0000;0,4444;0,4665;1;0,7629;Muito Baixo
08000 - Transporte Terrestre e Logistica;52117;Ativa;Entidades empresariais;Sim;1,0000;0,5167;1,0000;0,4444;0,5471;1;0,7506;Muito Baixo
08001 - Automoveis;29204;Ativa;Entidades empresariais;Sim;0,8926;0,9583;0,9928;0,6667;0,8717;0,7687;0,8873;Muito Alto
08002 - Transporte Aereo e Gestao de Aeroportos;51111;Ativa;Entidades empresariais;Sim;0,8662;1,0000;0,9977;0,6667;0,787;0,6787;0,8566;Alto
01000 - Instituicoes Financeiras e de Seguros;64506;Ativa;Entidades empresariais;Sim;0,9948;0,9991;1,0000;0,6667;0,689;1;0,8727;Baixo
02000 - Petroleo e Gas;64620;Ativa;Entidades empresariais;Sim;0,9268;0,9212;0,9900;0,4444;0,9599;1;0,9128;Muito Baixo
09000 - Saude;86101;Ativa;Entidades empresariais;Sim;0,8406;0,9874;1,0000;0,6667;0,5719;1;0,8208;Alto
03004 - Construcao - Obras de Infra-estrutura;42995;Ativa;Entidades empresariais;Sim;0,9579;0,9801;1,0000;0,6667;0,3946;1;0,7785;Baixo
02005 - Sucroalcooleiro;46397;Ativa;Entidades empresariais;Sim;0,9851;0,9914;1,0000;0,6122;0,643;1;0,8516;Muito Baixo
01000 - Instituicoes Financeiras e de Seguros;66304;Ativa;Entidades empresariais;Sim;0,9849;1,0000;1,0000;0,6667;0,6928;1;0,873;Alto
03000 - Eletricidade;35131;Ativa;Entidades empresariais;Sim;0,9008;1,0000;1,0000;0,5556;0,9524;1;0,9314;Muito Alto
07000 - Comercio em Geral;46893;Ativa;Entidades empresariais;Sim;0,9990;1,0000;0,6667;0,6667;0,3906;1;0,6904;Alto
01000 - Instituicoes Financeiras e de Seguros;66304;Ativa;Entidades empresariais;Sim;0,9851;1,0000;1,0000;0,6667;0,6951;1;0,8737;Muito Alto
10004 - Papel e Celulose;02101;Ativa;Entidades empresariais;Sim;0,8312;0,9875;1,0000;0,6245;0,685;0,8021;0,8298;Baixo
06003 - Pecuaria, carnes, leites e derivados;10139;Ativa;Entidades empresariais;Sim;0,9611;0,8869;0,8911;0,6667;0,5807;0,794;0,7723;Alto
06004 - Alimentos Processados;10414;Ativa;Entidades empresariais;Sim;0,9671;0,6215;0,8693;0,6667;0,5625;0,7926;0,7294;Muito Baixo
06004 - Alimentos Processados;10414;Ativa;Entidades empresariais;Sim;0,9865;0,7117;0,9467;0,4444;0,5881;1;0,77;Baixo
07001 - Supermercados;47113;Ativa;Entidades empresariais;Sim;0,9429;0,9998;0,9000;0,5556;0,5893;1;0,7986;Moderado
05002 - Cimento, ceramicas e revestimentos;23117;Ativa;Entidades empresariais;Sim;0,9058;0,9338;0,9900;0,4444;0,9112;0,8413;0,8818;Alto
02001 - Quimicos - Fabricacao;20312;Ativa;Entidades empresariais;Sim;0,9537;0,8513;0,9843;0,6667;0,9176;0,8722;0,9023;Moderado
01000 - Instituicoes Financeiras e de Seguros;66304;Ativa;Entidades empresariais;Sim;1,0000;1,0000;1,0000;0,6667;0,6488;1;0,8613;Muito Baixo
06002 - Turismo, Hotelaria e Lazer;90019;Ativa;Entidades empresariais;Sim;0,8945;0,9921;0,9833;0,6667;0,525;0,7857;0,7866;Muito Alto
07002 - Varejistas;64620;Ativa;Entidades empresariais;Sim;0,9403;0,8892;1,0000;0,6667;0,5257;1;0,8051;Moderado
01000 - Instituicoes Financeiras e de Seguros;64328;Ativa;Entidades empresariais;Sim;0,9275;0,9941;1,0000;0,6667;0,9595;1;0,9466;Baixo
01000 - Instituicoes Financeiras e de Seguros;65201;Ativa;Entidades empresariais;Sim;0,9915;1,0000;1,0000;0,4444;0,9328;1;0,9234;Muito Baixo
11002 - Meios de Pagamento, Ticket Alimentacao, Programa de Fidelidade;62091;Ativa;Entidades empresariais;Sim;0,9559;0,8571;1,0000;0,6667;0,9355;1;0,9258;Alto
06002 - Turismo, Hotelaria e Lazer;55108;Ativa;Entidades empresariais;Sim;0,8364;0,9365;1,0000;0,6667;0,9242;0,7857;0,8985;Baixo
03000 - Eletricidade;35140;Ativa;Entidades empresariais;Sim;0,9156;0,9579;1,0000;0,4444;0,8974;1;0,9002;Baixo
08001 - Automoveis;29492;Ativa;Entidades empresariais;Sim;0,8394;0,8893;0,5681;0,6667;0,8562;0,7264;0,7459;Alto
08000 - Transporte Terrestre e Logistica;52508;Ativa;Entidades empresariais;Sim;0,9051;0,9686;1,0000;0,6667;0,9252;1;0,931;Alto
11007 - Igrejas e Associacoes;94308;Ativa;Entidades sem fins lucrativos;Sim;0,6364;0,9797;1,0000;0,5147;0,3849;1;0,7281;Muito Baixo
01000 - Instituicoes Financeiras e de Seguros;66126;Ativa;Entidades empresariais;Sim;0,8356;0,9315;1,0000;0,6667;0,884;1;0,9072;Moderado
06003 - Pecuaria, carnes, leites e derivados;10139;Ativa;Entidades empresariais;Sim;0,9679;0,7513;1,0000;0,6667;0,7063;0,7574;0,8212;Moderado
11004 - Atividades Imobiliarias, Shopping Center;68102;Ativa;Entidades empresariais;Sim;0,7131;0,7142;1,0000;0,4684;0,4286;1;0,7124;Alto
06003 - Pecuaria, carnes, leites e derivados;46311;Ativa;Entidades empresariais;Sim;0,9681;0,7200;0,6667;0,6234;0,8792;0,9428;0,7903;Muito Alto
02005 - Sucroalcooleiro;10716;Ativa;Entidades empresariais;Sim;0,9114;0,8064;1,0000;0,5556;0,6753;0,9551;0,8216;Baixo
05001 - Metalurgia e Siderurgia;64638;Ativa;Entidades empresariais;Sim;0,9983;0,9322;1,0000;0,6667;0,9556;1;0,945;Moderado
04001 - Tecnologia (Software e Comercio);73122;Ativa;Entidades empresariais;Sim;0,9384;1,0000;1,0000;0,6667;0,9181;1;0,9359;Muito Alto
08001 - Automoveis;45111;Ativa;Entidades empresariais;Sim;0,8498;0,4806;0,8000;0,2222;0,8911;1;0,7562;Moderado
05001 - Metalurgia e Siderurgia;24229;Ativa;Entidades empresariais;Sim;0,9993;0,9444;1,0000;0,4444;0,8637;0,7129;0,8681;Alto
09000 - Saude;86101;Ativa;Entidades empresariais;Sim;0,9455;0,9995;0,9653;0,6667;0,64;1;0,8434;Baixo
01002 - Planos de Saude;65502;Ativa;Entidades empresariais;Sim;0,6648;0,9045;1,0000;0,6304;0,8787;1;0,8817;Alto
05001 - Metalurgia e Siderurgia;24521;Ativa;Entidades empresariais;Sim;0,8587;0,9285;1,0000;0,5556;0,5754;1;0,8055;Moderado
06003 - Pecuaria, carnes, leites e derivados;46176;Ativa;Entidades empresariais;Sim;0,8986;0,5717;0,7667;0,5556;0,8539;0,9887;0,7837;Moderado
03004 - Construcao - Obras de Infra-estrutura;42219;Ativa;Entidades empresariais;Sim;1,0000;0,9997;1,0000;0,7778;0,944;0,9649;0,9574;Baixo
11002 - Meios de Pagamento, Ticket Alimentacao, Programa de Fidelidade;82997;Ativa;Entidades empresariais;Sim;0,9950;1,0000;1,0000;0,6667;0,9919;1;0,9637;Muito Alto
06003 - Pecuaria, carnes, leites e derivados;10112;Ativa;Entidades empresariais;Sim;0,9545;0,7377;1,0000;0,5561;0,4967;1;0,7686;Baixo
03000 - Eletricidade;35131;Ativa;Entidades empresariais;Sim;0,9296;0,7870;1,0000;0,4444;0,8333;1;0,8618;Alto
08001 - Automoveis;45111;Ativa;Entidades empresariais;Sim;0,8680;1,0000;1,0000;0,4444;0,6282;1;0,8197;Moderado
04001 - Tecnologia (Software e Comercio);62015;Ativa;Entidades empresariais;Sim;0,8109;0,9882;1,0000;0,6667;0,8925;1;0,9141;Alto
03000 - Eletricidade;35131;Ativa;Entidades empresariais;Sim;0,9738;1,0000;1,0000;0,4444;0,9444;1;0,9251;Moderado
02003 - Combustivel;10414;Ativa;Entidades empresariais;Sim;0,8962;0,7064;1,0000;0,4974;0,6762;0,9692;0,8039;Muito Alto
07002 - Varejistas;47130;Ativa;Entidades empresariais;Sim;0,9844;0,8481;0,9410;0,4444;0,8936;0,7876;0,855;Alto
07002 - Varejistas;47539;Ativa;Entidades empresariais;Sim;0,9875;0,8385;0,8667;0,6667;0,6883;1;0,8152;Alto
07002 - Varejistas;47539;Ativa;Entidades empresariais;Sim;0,8299;0,9301;0,8633;0,4444;0,7;1;0,7908;Muito Alto
09003 - Farmaceutico e Produtos Hospitalares;46443;Ativa;Entidades empresariais;Sim;0,8958;0,8886;0,9000;0,6667;0,7462;1;0,8387;Alto
02003 - Combustivel;46818;Ativa;Entidades empresariais;Sim;0,9371;0,9876;1,0000;0,6667;0,671;1;0,8602;Baixo
01000 - Instituicoes Financeiras e de Seguros;66126;Ativa;Entidades empresariais;Sim;0,8686;0,9889;0,9933;0,6667;0,906;1;0,9221;Moderado
09000 - Saude;64620;Ativa;Entidades empresariais;Sim;0,9830;0,7008;1,0000;0,4444;0,5714;1;0,7783;Muito Baixo
10003 - Bens de Capital;27317;Ativa;Entidades empresariais;Sim;0,7509;0,8450;1,0000;0,6667;0,6628;0,8309;0,8051;Alto
07001 - Supermercados;46915;Ativa;Entidades empresariais;Sim;0,9246;1,0000;0,8323;0,6667;0,9501;0,8096;0,8782;Muito Alto
04001 - Tecnologia (Software e Comercio);62015;Ativa;Entidades empresariais;Sim;0,6039;0,9310;1,0000;0,4444;0,6377;0,7151;0,7594;Muito Baixo
03006 - Construcao - Comercio;47440;Ativa;Entidades empresariais;Sim;0,9818;0,9958;1,0000;0,5881;0,6741;0,7033;0,829;Alto
11003 - Atividades profissionais, cientificas e tecnicas;73114;Ativa;Entidades empresariais;Sim;0,9863;0,9948;1,0000;0,6363;0,5962;0,9286;0,8334;Muito Baixo
03002 - agua e Esgoto;36006;Ativa;Entidades empresariais;Sim;0,8537;0,8949;0,9933;0,4564;0,8869;1;0,8826;Muito Alto
07002 - Varejistas;47814;Ativa;Entidades empresariais;Sim;0,8923;0,9997;0,8000;0,5552;0,3518;0,7901;0,6733;Baixo
01000 - Instituicoes Financeiras e de Seguros;66304;Ativa;Entidades empresariais;Sim;0,9848;1,0000;1,0000;0,6667;0,6922;1;0,8728;Muito Alto
01000 - Instituicoes Financeiras e de Seguros;65308;Ativa;Entidades empresariais;Sim;0,9570;0,8129;1,0000;0,4444;0,5984;1;0,7972;Muito Baixo
09001 - Educacao;85325;Ativa;Entidades empresariais;Sim;0,8853;0,9870;1,0000;0,6667;0,9794;1;0,9475;Alto
06004 - Alimentos Processados;10813;Ativa;Entidades empresariais;Sim;0,9417;0,7546;1,0000;0,5556;0,6058;0,9838;0,8004;Moderado
03004 - Construcao - Obras de Infra-estrutura;42227;Ativa;Entidades empresariais;Sim;0,8769;0,9177;1,0000;0,6667;0,5384;1;0,806;Baixo
02003 - Combustivel;46818;Ativa;Entidades empresariais;Sim;0,9133;0,8085;1,0000;0,6363;0,5632;1;0,8009;Alto
06002 - Turismo, Hotelaria e Lazer;56201;Ativa;Entidades empresariais;Sim;0,9684;0,9010;0,9369;0,6667;0,6649;1;0,8334;Muito Baixo
07002 - Varejistas;47539;Ativa;Entidades empresariais;Sim;0,6609;0,8784;1,0000;0,6667;0,7742;1;0,8504;Alto
11008 - Servicos de Locacao;77195;Ativa;Entidades empresariais;Sim;0,9430;0,7423;0,8617;0,4569;0,8784;1;0,8339;Muito Alto
07000 - Comercio em Geral;46893;Ativa;Entidades empresariais;Sim;1,0000;0,9996;0,9016;0,6667;0,6336;0,7704;0,8062;Muito Baixo
10003 - Bens de Capital;28119;Ativa;Entidades empresariais;Sim;0,7831;0,6452;0,8580;0,5556;0,6701;0,7252;0,7251;Muito Alto
02005 - Sucroalcooleiro;10716;Ativa;Entidades empresariais;Sim;0,8109;0,6988;0,8900;0,4444;0,7357;0,9444;0,7737;Muito Alto
03001 - Construcao - Edificios;41107;Ativa;Entidades empresariais;Sim;0,8279;0,8960;1,0000;0,5786;0,5481;1;0,7926;Baixo
02001 - Quimicos - Fabricacao;20991;Ativa;Entidades empresariais;Sim;0,7140;0,9999;0,8550;0,5556;0,9782;0,7205;0,8519;Muito Alto
02006 - Defensivos agricolas, adubos e fertilizantes;46834;Ativa;Entidades empresariais;Sim;0,8633;1,0000;1,0000;0,6667;0,5604;0,878;0,8089;Muito Alto
02008 - Comercio varejista de combustiveis;47318;Ativa;Entidades empresariais;Sim;0,8955;0,9961;0,9927;0,6667;0,7755;1;0,8864;Muito Alto
10000 - Industria em Geral;46737;Ativa;Entidades empresariais;Sim;0,9306;0,9233;1,0000;0,5556;0,5262;1;0,7973;Baixo
02001 - Quimicos - Fabricacao;20401;Ativa;Entidades empresariais;Sim;0,9333;0,9028;0,9109;0,4444;0,8983;0,9154;0,8622;Alto
06002 - Turismo, Hotelaria e Lazer;56112;Ativa;Entidades empresariais;Sim;0,9113;0,9437;0,7013;0,4444;0,8642;1;0,8044;Muito Alto
08003 - Transporte Maritimo;52311;Ativa;Entidades empresariais;Sim;0,7083;0,8784;0,9273;0,6667;0,6112;0,8227;0,7682;Alto
04001 - Tecnologia (Software e Comercio);63119;Ativa;Entidades empresariais;Sim;0,6364;0,8596;1,0000;0,4444;0,8841;1;0,8565;Muito Baixo
02001 - Quimicos - Fabricacao;20312;Ativa;Entidades empresariais;Sim;0,9664;0,7775;1,0000;0,5556;0,6859;0,7559;0,8069;Alto
04001 - Tecnologia (Software e Comercio);63194;Ativa;Entidades empresariais;Sim;0,9602;1,0000;0,9833;0,6667;0,9208;0,8424;0,9185;Muito Alto
07001 - Supermercados;47211;Ativa;Entidades empresariais;Sim;0,9233;0,9233;1,0000;0,4444;0,563;1;0,7965;Baixo
03004 - Construcao - Obras de Infra-estrutura;84116;Ativa;Entidades empresariais;Sim;0,6006;1,0000;1,0000;0,5751;0,3108;1;0,7108;Baixo
